species_a	species_b	n_families	median_ks	median_ka	min_ks	max_ks	n_saturated
Cgig	Dcar	69	0.7623	0.2514	0.4176	1.6076	0
Pole	Sof	69	0.7707	0.2380	0.3644	1.5916	0
Cjam	Dcar	69	0.7726	0.2580	0.4228	1.5980	0
Dcar	Pole	69	0.7784	0.2611	0.4036	1.5617	0
Ahyp	Pami	67	0.7825	0.2470	0.4318	1.6479	0
Dcar	Sund	69	0.7827	0.2459	0.3970	1.5073	0
Dcar	Ococ	69	0.7862	0.2426	0.4257	1.6376	0
Dcar	Obas	69	0.7926	0.2469	0.4258	1.6376	0
Ahyp	Dcar	67	0.7990	0.2487	0.4085	2.2627	0
Pami	Sof	69	0.8261	0.2529	0.3743	1.6911	0
Dcar	Pami	69	0.8413	0.2463	0.3799	1.4306	0
